value,COUNT(*)
b'AGV Vogn',1
b'AGV ladestation',4
b'AGV rum',4
b'Bufferlager',34
b'Buffetvogne',3
b'Cafe',9
b'Datacentral',2
b'Debriefingsrum',7
b'Depot',14
"b'Depot, Udstyr, 10-20m2'",3
"b'Depot, Udstyr, 30-40m3'",1
b'Disp',1
b'Elev.01',17
b'Elev.03',15
b'Elev.04',3
b'Elevator',22
b'Escaveyor',1
b'Forberedelse',14
b'Forberedt for r\xc3\xb8rpost',17
b'Fordelingsgang',1
b'Forrum',30
b'Fryserum',1
"b'Garderobe, Niche, kontorkoncept'",6
b'Gennemf\xc3\xb8ring',1
b'Gruppekontor',93
"b'Gruppekontor, 2 pl.'",1
b'Grupperum',2
b'Hjertestarter',5
b'Hj\xc3\xa6lpemiddellager',2
b'K-boks',47
b'Klasse D lokale',3
"b'Kopi/print, kontorkoncept'",9
b'Korridor',120
b'K\xc3\xb8leskabs-/fryseskabsrum',1
b'Laboratorium',3
b'Lager',29
"b'Lederkontor, 1 pl.'",8
"b'Lederkontor, 2 pl.'",40
b'Manuel vask',1
b'Maskinrum',1
b'Mobilt r\xc3\xb8ntgen',1
b'Morgue',2
"b'M\xc3\xb8derum, Lille'",12
"b'M\xc3\xb8derum, Stor, kontorkoncept'",24
b'Omkl\xc3\xa6dning',54
"b'Omkl\xc3\xa6dning, Personale (type 8)'",2
b'Operat\xc3\xb8rrum',4
b'Opholdsrum',2
b'Opstilling',14
"b'Opstilling, Senge'",1
b'Personaleophold',1
b'Pladelager',1
b'Pr\xc3\xb8vetagningsvogne',3
b'Reception',1
b'Ren zone',34
b'Reng\xc3\xb8ring',3
b'Reng\xc3\xb8ringsrum',16
b'Reng\xc3\xb8ringsrum (0-3m2)',1
b'Reng\xc3\xb8ringsrum (15-29m2)',2
b'R\xc3\xb8rpost',26
b'R\xc3\xb8rpost patronvasker',1
"b'R\xc3\xb8rpost, gennemgang'",2
b'R\xc3\xb8rpostcentraler',4
"b'Samtale-/fordyb.modul, kontorkoncept'",2
b'Samtalerum',24
b'Simulationsrum',12
b'Skakt',12
b'Skakt VVS',14
b'Skakt VVS/Ventilation',34
b'Skakt ventilation',14
b'Skopvask',6
b'Sluse',3
b'Splidserum',2
b'Taskeskab',13
b'Taskeskabe',2
b'Teamrum',4
b'Teknikerrum',1
b'Teknikrum',132
b'Teknikrum EL',10
b'Teknikrum vand',1
b'Teknikrum ventilation',3
b'Testrum',8
b'Toilet',121
b'Toilet/bad',195
"b'Toilet/bad, personale'",36
b'Trappe',27
b'Udbl\xc3\xa6sningsrum',2
b'Undervisning',1
"b'Undervisning og auditorie, kontorkoncept'",8
b'Uniformer',26
b'Uren zone',34
b'Vagtv\xc3\xa6relse',48
b'Vandanl\xc3\xa6g',1
b'Vask',3
b'Vente',1
b'V\xc3\xa6rksted',13
