value
b'-01 P-01STK Structural Intrados'
b'00 PT Structural Intrados'
b'02 P2 Structural Intrados'
b'05 Plan 5'
b'10'
b'11'
b'12'
b'13'
b'14'
b'15'
b'16'
b'17'
b'18'
b'19'
b'2'
b'20'
b'3'
b'4'
b'5'
b'6'
b'7'
b'8'
b'9'
b'K\xc3\xa6lderplan (99)'
b'K\xc3\xa6lderplan (99K)'
b'K\xc3\xa6lderplan(99)'
b'None'
b'Plan 1 (01)'
b'Plan 2 (02)'
b'Plan 3 (03)'
b'Plan 4 (04)'
b'Plan 5 (05)'
b'Plan1(01)'
b'Plan2(02K)'
b'Projekt 0'
b'Stueplan (ST)'
b'Stueplan (STK)'
b'WF_Plan 1 (01)_Warnings_Fix'
b'WF_Plan 2 (02)_Warnings_Fix'
b'WF_Stueplan (ST)_Warnings_Fix'
